[xhpl_single_control] CWD: /home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/work/N120000_NB256_P8Q8_pf1rf1_nbmin4_ndiv2_bc1_d2_sw2_t256
[xhpl_single_control] DAT line3: /home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N120000_NB256_P8Q8_pf1rf1_nbmin4_ndiv2_bc1_d2_sw2_t256.out
[xhpl_single_control] OUT expected: /home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N120000_NB256_P8Q8_pf1rf1_nbmin4_ndiv2_bc1_d2_sw2_t256.out
xcnf1  	libopenblas.so.0 => /home/k/kimsh/opt/openblas/lib/libopenblas.so.0 (0x00007cd07d118000)
	libmpi.so.12 => /home/k/kimsh/.local/mpich/lib/libmpi.so.12 (0x00007cd079b3a000)
Column=000000512 Fraction= 0.4% Gflops=3.133e+04
Column=000000768 Fraction= 0.6% Gflops=3.150e+03
Column=000001024 Fraction= 0.9% Gflops=2.146e+03
Column=000001280 Fraction= 1.1% Gflops=1.775e+03
Column=000001536 Fraction= 1.3% Gflops=1.579e+03
Column=000001792 Fraction= 1.5% Gflops=1.451e+03
Column=000002048 Fraction= 1.7% Gflops=1.384e+03
Column=000002304 Fraction= 1.9% Gflops=1.320e+03
Column=000002560 Fraction= 2.1% Gflops=1.287e+03
Column=000002816 Fraction= 2.3% Gflops=1.259e+03
Column=000003072 Fraction= 2.6% Gflops=1.235e+03
Column=000003328 Fraction= 2.8% Gflops=1.216e+03
Column=000003584 Fraction= 3.0% Gflops=1.190e+03
Column=000003840 Fraction= 3.2% Gflops=1.177e+03
Column=000004096 Fraction= 3.4% Gflops=1.166e+03
Column=000004352 Fraction= 3.6% Gflops=1.148e+03
Column=000004608 Fraction= 3.8% Gflops=1.141e+03
Column=000004864 Fraction= 4.1% Gflops=1.135e+03
Column=000005120 Fraction= 4.3% Gflops=1.129e+03
Column=000005376 Fraction= 4.5% Gflops=1.118e+03
Column=000005632 Fraction= 4.7% Gflops=1.109e+03
Column=000005888 Fraction= 4.9% Gflops=1.103e+03
Column=000006144 Fraction= 5.1% Gflops=1.100e+03
Column=000006400 Fraction= 5.3% Gflops=1.091e+03
Column=000006656 Fraction= 5.5% Gflops=1.089e+03
Column=000006912 Fraction= 5.8% Gflops=1.086e+03
Column=000007168 Fraction= 6.0% Gflops=1.083e+03
Column=000007424 Fraction= 6.2% Gflops=1.079e+03
Column=000007680 Fraction= 6.4% Gflops=1.075e+03
Column=000007936 Fraction= 6.6% Gflops=1.072e+03
Column=000008192 Fraction= 6.8% Gflops=1.070e+03
Column=000008448 Fraction= 7.0% Gflops=1.065e+03
Column=000008704 Fraction= 7.3% Gflops=1.063e+03
Column=000008960 Fraction= 7.5% Gflops=1.062e+03
Column=000009216 Fraction= 7.7% Gflops=1.060e+03
Column=000009472 Fraction= 7.9% Gflops=1.057e+03
Column=000009728 Fraction= 8.1% Gflops=1.055e+03
Column=000009984 Fraction= 8.3% Gflops=1.053e+03
Column=000010240 Fraction= 8.5% Gflops=1.052e+03
Column=000010496 Fraction= 8.7% Gflops=1.049e+03
Column=000010752 Fraction= 9.0% Gflops=1.048e+03
Column=000011008 Fraction= 9.2% Gflops=1.047e+03
