file,variant,N,NB,P,Q,time_sec,gflops,PMAP,PFACT,NBMIN,NDIV,RFACT,BCAST,DEPTH,SWAP,SWAP_threshold,L1,U,EQUIL,ALIGN_words
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P16Q16_pf1rf2_nbmin4_ndiv2_bc1_d0_sw2_t128.out,WR01R2C4,147456,128,16,16,739.83,2889.2,Row-major process mapping,Crout,4,2,Right,1ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P16Q16_pf1rf2_nbmin4_ndiv2_bc1_d1_sw2_t128.out,WR11R2C4,147456,128,16,16,626.58,3411.3,Row-major process mapping,Crout,4,2,Right,1ringM,1,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P16Q16_pf1rf2_nbmin8_ndiv2_bc1_d0_sw2_t128.out,WR01R2C8,147456,128,16,16,738.55,2894.1,Row-major process mapping,Crout,8,2,Right,1ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P16Q16_pf1rf2_nbmin8_ndiv2_bc3_d0_sw2_t128.out,WR03R2C8,147456,128,16,16,776.96,2751.1,Row-major process mapping,Crout,8,2,Right,2ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P16Q16_pf1rf2_nbmin8_ndiv2_bc3_d1_sw2_t128.out,WR13R2C8,147456,128,16,16,640.23,3338.6,Row-major process mapping,Crout,8,2,Right,2ringM,1,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P4Q64_pf1rf2_nbmin4_ndiv2_bc1_d0_sw2_t128.out,WR01R2C4,147456,128,4,64,607.95,3515.9,Row-major process mapping,Crout,4,2,Right,1ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P4Q64_pf1rf2_nbmin4_ndiv2_bc1_d1_sw2_t128.out,WR11R2C4,147456,128,4,64,879.75,2429.6,Row-major process mapping,Crout,4,2,Right,1ringM,1,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P4Q64_pf1rf2_nbmin4_ndiv2_bc3_d0_sw2_t128.out,WR03R2C4,147456,128,4,64,621.16,3441.1,Row-major process mapping,Crout,4,2,Right,2ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P4Q64_pf1rf2_nbmin8_ndiv2_bc1_d0_sw2_t128.out,WR01R2C8,147456,128,4,64,608.61,3512.1,Row-major process mapping,Crout,8,2,Right,1ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P4Q64_pf1rf2_nbmin8_ndiv2_bc1_d1_sw2_t128.out,WR11R2C8,147456,128,4,64,1005.62,2125.5,Row-major process mapping,Crout,8,2,Right,1ringM,1,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P4Q64_pf1rf2_nbmin8_ndiv2_bc3_d0_sw2_t128.out,WR03R2C8,147456,128,4,64,624.02,3425.4,Row-major process mapping,Crout,8,2,Right,2ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P4Q64_pf1rf2_nbmin8_ndiv2_bc3_d1_sw2_t128.out,WR13R2C8,147456,128,4,64,1048.69,2038.2,Row-major process mapping,Crout,8,2,Right,2ringM,1,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P8Q32_pf1rf2_nbmin4_ndiv2_bc1_d0_sw2_t128.out,WR01R2C4,147456,128,8,32,633.21,3375.6,Row-major process mapping,Crout,4,2,Right,1ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P8Q32_pf1rf2_nbmin4_ndiv2_bc1_d1_sw2_t128.out,WR11R2C4,147456,128,8,32,1032.96,2069.3,Row-major process mapping,Crout,4,2,Right,1ringM,1,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P8Q32_pf1rf2_nbmin4_ndiv2_bc3_d0_sw2_t128.out,WR03R2C4,147456,128,8,32,596.94,3580.7,Row-major process mapping,Crout,4,2,Right,2ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P8Q32_pf1rf2_nbmin4_ndiv2_bc3_d1_sw2_t128.out,WR13R2C4,147456,128,8,32,1016.93,2101.9,Row-major process mapping,Crout,4,2,Right,2ringM,1,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P8Q32_pf1rf2_nbmin8_ndiv2_bc1_d0_sw2_t128.out,WR01R2C8,147456,128,8,32,633.69,3373.1,Row-major process mapping,Crout,8,2,Right,1ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P8Q32_pf1rf2_nbmin8_ndiv2_bc3_d0_sw2_t128.out,WR03R2C8,147456,128,8,32,643.56,3321.4,Row-major process mapping,Crout,8,2,Right,2ringM,0,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB128_P8Q32_pf1rf2_nbmin8_ndiv2_bc3_d1_sw2_t128.out,WR13R2C8,147456,128,8,32,583.07,3665.9,Row-major process mapping,Crout,8,2,Right,2ringM,1,Mix,128,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB192_P16Q16_pf1rf2_nbmin4_ndiv2_bc1_d0_sw2_t192.out,WR01R2C4,147456,192,16,16,856.02,2497.0,Row-major process mapping,Crout,4,2,Right,1ringM,0,Mix,192,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB192_P16Q16_pf1rf2_nbmin4_ndiv2_bc1_d1_sw2_t192.out,WR11R2C4,147456,192,16,16,673.61,3173.2,Row-major process mapping,Crout,4,2,Right,1ringM,1,Mix,192,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB192_P16Q16_pf1rf2_nbmin4_ndiv2_bc3_d0_sw2_t192.out,WR03R2C4,147456,192,16,16,804.84,2655.8,Row-major process mapping,Crout,4,2,Right,2ringM,0,Mix,192,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB192_P16Q16_pf1rf2_nbmin4_ndiv2_bc3_d1_sw2_t192.out,WR13R2C4,147456,192,16,16,637.01,3355.5,Row-major process mapping,Crout,4,2,Right,2ringM,1,Mix,192,transposed form,transposed form,yes,8
/home/k/kimsh/HPL_Linpack/hpl-2.3/bin/EPYC_openblas/results/xhpl_N147456_NB192_P16Q16_pf1rf2_nbmin8_ndiv2_bc1_d0_sw2_t192.out,WR01R2C8,147456,192,16,16,770.1,2775.6,Row-major process mapping,Crout,8,2,Right,1ringM,0,Mix,192,transposed form,transposed form,yes,8
